name,abs750,abs665,abs663,abs645,abs630,a,L,V
横河川(g2y1),0.0028,0.1929,0.2004,0.0602,0.0453,8.0,1.0,0.395
赤砂崎(g2y2),0.0040,0.1968,0.2015,0.0634,0.0463,8.0,1.0,0.4125
下諏訪艇庫(g2y3),0.0034,0.1177,0.1195,0.0364,0.0282,8.0,1.0,0.500
すわっこランド(g2r1),0.0026,0.0935,0.0950,0.0306,0.0248,8.0,1.0,0.4075
上川(g2r2),0.0033,0.0184,0.0183,0.0066,0.0063,8.0,1.0,0.4475
湖畔公園(g2r3),0.0055,0.4282,0.4333,0.1321,0.1010,8.0,1.0,0.500
