name,abs750,abs665,abs663,abs645,abs630,a,L,V
y1,0.0284,0.1067,0.1099,0.0327,0.0222,8.0,1.0,0.470
y2,0.0256,0.0732,0.0770,0.0321,0.0126,8.0,1.0,0.500
y3,0.0126,0.0646,0.0618,0.0139,0.0062,8.0,1.0,0.500
r1,0.0100,0.0162,0.0251,-0.0054,-0.0105,8.0,1.0,0.500
r2,0.0126,0.0969,0.1100,0.0515,0.1045,8.0,1.0,0.260
