name,abs750,abs665,abs663,abs645,abs630,a,L,V
すわっこランド,0.0066,0.0674,0.0674,0.0234,0.0175,8.0,1.0,0.391
上川,0.0020,0.0145,0.0144,0.0056,0.0042,8.0,1.0,0.455
湖畔公園,0.0050,0.1836,0.1840,0.0571,0.0436,8.0,1.0,0.445
下諏訪艇庫,0.0128,0.1174,0.1179,0.0442,0.0365,8.0,1.0,0.500
赤砂崎,0.0100,0.1099,0.1085,0.0370,0.0309,8.0,1.0,0.471
横河川,0.0070,0.1152,0.1147,0.0338,0.0303,8.0,1.0,0.500
