name,abs750,abs665,abs663,abs645,abs630,a,L,V
No1,0.0055,0.2241,0.2245,0.0776,0.0522,8.0,1.0,0.650
No2,0.0044,0.0997,0.0988,0.0376,0.0303,8.0,1.0,0.476
No2.5,0.0063,0.1255,0.1250,0.0413,0.0326,8.0,1.0,0.446
No4,0.0055,0.3688,0.3684,0.1150,0.0771,8.0,1.0,0.490
No5,0.0012,0.0771,0.0776,0.0237,0.0184,8.0,1.0,0.445
No6,0.0054,0.0145,0.0179,0.0107,0.0090,8.0,1.0,0.415
