name,abs750,abs665,abs663,abs645,abs630,a,L,V
諏訪湖,0.0035,0.1077,0.1091,0.0333,0.0275,8.0,1.0,0.5
水槽,0.0028,0.1633,0.1675,0.0684,0.0422,8.0,1.0,0.5
No5,0.0028,0.0480,0.0480,0.0188,0.0134,8.0,1.0,0.4
No6,-0.0002,0.0538,0.0542,0.0161,0.0105,8.0,1.0,0.4
