name,abs750,abs665,abs663,abs645,abs630,a,L,V
上川,-0.0025,0.0430,0.0425,0.0160,0.0073,8.0,1.0,0.500
湖畔公園,0.0022,0.1616,0.1626,0.0480,0.0350,8.0,1.0,0.500
下諏訪艇庫,0.0000,0.0848,0.0842,0.0260,0.0201,8.0,1.0,0.500
赤砂崎,-0.0005,0.0505,0.0460,0.0155,0.0118,8.0,1.0,0.402
横河川,-0.0044,0.0488,0.0502,0.0144,0.0099,8.0,1.0,0.350
