name,abs750,abs665,abs663,abs645,abs630,a,L,V
y1,0.0413,0.0712,0.0758,0.0303,0.0251,8.0,1.0,0.500
y2,0.0266,0.1228,0.1300,0.0569,0.0502,8.0,1.0,0.500
y3,0.0341,0.1168,0.1140,0.0703,0.0574,8.0,1.0,0.500
r1,0.0707,0.0868,0.0896,0.0818,0.0687,8.0,1.0,0.417
r2,0.0438,0.1029,0.1094,0.0670,0.0530,8.0,1.0,0.500
r3,0.0260,0.0519,0.0602,0.0364,0.0376,8.0,1.0,0.500
