name,abs750,abs665,abs663,abs645,abs630,a,L,V
y1,0.0383,0.1439,0.1405,0.0682,0.0627,8.0,1.0,0.500
y2,0.0121,0.1199,0.1202,0.0428,0.0352,8.0,1.0,0.500
y3,0.0190,0.1272,0.1270,0.0560,0.0497,8.0,1.0,0.500
r1,0.0284,0.2231,0.2281,0.0979,0.0869,8.0,1.0,0.500
r2,0.0225,0.1133,0.1150,0.0563,0.0499,8.0,1.0,0.417
r3,0.0220,0.0328,0.0337,0.0396,0.0361,8.0,1.0,0.500
