name,abs750,abs665,abs663,abs645,abs630,a,L,V
横河川(g1y1),0.0009,0.0984,0.0958,0.0295,0.0211,8.0,1.0,0.300
赤砂崎(g1y2),-0.0012,0.0181,0.0173,0.0028,0.0017,8.0,1.0,0.300
下諏訪艇庫(g1y3),-0.0009,0.0198,0.0199,0.0043,0.0029,8.0,1.0,0.300
