name,abs750,abs665,abs663,abs645,abs630,a,L,V
横河川(b1y1),0.0065,0.1288,0.1315,0.0466,0.0366,8.0,1.0,0.475
赤砂崎(b1y2),0.0203,0.1984,0.2008,0.0702,0.0585,8.0,1.0,0.500
下諏訪艇庫(b1y3),0.0057,0.1952,0.2334,0.1086,0.0952,8.0,1.0,0.500
すわっこランド(b1r1),0.0057,0.0800,0.0813,0.0328,0.0272,8.0,1.0,0.480
上川(b1r2),0.0051,0.0323,0.0385,0.0182,0.0153,8.0,1.0,0.435
湖畔公園(b1r3),0.0129,0.1732,0.1765,0.0665,0.0494,8.0,1.0,0.355
